num_files,num_components,num_packages,distinct_labels,avg_file_component,std_file_component,project
98,1,1,15,49.0,21.0,amplify
5,0,1,2,5.0,0.0,HanselAndGretel
43,3,1,7,14.333333333333334,15.369522511198003,vlayout
140,1,1,28,70.0,64.0,nosql4idea
42,1,1,15,21.0,16.0,Sysmon
62,1,2,25,31.0,21.0,jawampa
5,0,1,1,5.0,0.0,cas-client-autoconfig-support
57,9,1,9,6.333333333333333,7.211102550927978,idea-latex
25,1,2,11,12.5,3.5,AttestationDeplacement
4,0,1,3,4.0,0.0,elasticsearch-cloud-kubernetes
7,2,1,5,3.5,0.5,AA-Phenotype-Patcher
128,14,1,27,9.142857142857142,7.953949089757175,ingestion
57,1,2,23,28.5,17.5,BleSensorTag
5,0,1,3,5.0,0.0,SocialLoginManager
8,2,1,8,2.6666666666666665,1.247219128924647,logback-gelf
91,7,2,27,11.375,6.854514935427598,blockchain2graph
737,33,21,82,21.676470588235293,22.163457720569863,Spigot-API
4,0,1,3,4.0,0.0,TLS-update
18,1,1,3,9.0,8.0,MaterialViewPager
13,2,1,9,4.333333333333333,3.39934634239519,WeChatLuckyMoney
13,1,1,9,6.5,0.5,clion-embedded-arm
694,50,38,78,13.88,13.76174407551601,mayocat-shop
106,14,2,26,7.066666666666666,5.531324936717744,androidkit
4,1,2,3,2.0,1.0,VNTNumberPickerPreference
10,0,1,3,10.0,0.0,aerogear-otp-java
10,2,1,6,5.0,2.0,auto-value-cursor
331,1,1,13,165.5,26.5,activemq-apollo
36,0,1,6,36.0,0.0,Android-PullToRefresh
11,1,3,7,5.5,3.5,material-searchview
6,0,1,3,6.0,0.0,AndroidParallax
78,5,5,23,15.6,11.672189169131899,dagger
681,1,5,54,340.5,270.5,ZimLX
496,2,1,17,165.33333333333334,184.2323412312712,tyrus
23,0,2,10,23.0,0.0,WizarDroid
10,0,2,9,10.0,0.0,Deacon
31,1,1,12,15.5,12.5,android-play-games-in-motion
43,1,2,10,21.5,15.5,turnserver
8,2,1,4,2.6666666666666665,0.4714045207910317,platform_packages_apps_calculator
846,34,1,88,24.88235294117647,32.026427236307384,X-Road
147,10,2,14,14.7,17.860851043553325,yoke
4,1,1,3,2.0,1.0,Layout-to-Image
3023,160,19,76,18.77639751552795,31.92031521880804,mojarra
7,3,1,5,1.75,0.4330127018922193,Demo.SSM
20,2,1,3,6.666666666666667,6.018490028422596,ledger-javacard
216,12,2,44,18.0,23.657275131905337,SimianArmy
94,1,1,23,47.0,35.0,Munch
11,0,2,7,11.0,0.0,icicle
2,0,1,2,2.0,0.0,react-native-orientation-listener
42,1,2,20,21.0,14.0,jfinal-api-scaffold
10,2,1,5,5.0,3.0,android-cache-cleaner
195,1,3,32,97.5,83.5,XDA-One
30,2,2,8,10.0,10.677078252031311,webmaker-android
5,1,1,5,2.5,1.5,cordova-plugin-background-app
247,13,14,36,17.642857142857142,18.097383957977158,flowvisor
1093,2,1,28,364.3333333333333,361.9026879639823,gdx-lml
5,2,1,4,1.6666666666666667,0.9428090415820634,JiaoZiVideoPlayer
813,1,2,45,406.5,250.5,metamodel
39,1,1,18,19.5,15.5,clutz
60,1,1,14,30.0,22.0,graph-aided-search
8751,3,8,152,2187.75,3571.9806392952355,OpenAM
6,0,1,5,6.0,0.0,jreact
197,16,2,9,13.133333333333333,18.297055015007807,declex
9,0,3,7,9.0,0.0,Phonesky
234,1,2,5,117.0,105.0,shipkit
32,1,2,10,16.0,10.0,tic-tacs
1,0,1,1,1.0,0.0,ecs-mesos-scheduler-driver
1,1,1,1,1.0,0.0,appirater-android
25,1,1,11,12.5,11.5,LiquidFunPaint
460,1,2,66,230.0,212.0,hank
21,1,1,10,10.5,1.5,googletv-android-samples
64,1,2,18,32.0,10.0,PulseMusic
134,1,5,15,67.0,22.0,ActionBarSherlock
43,4,2,16,8.6,9.850888284819801,spring-best-practices
4,0,1,2,4.0,0.0,elasticsearch-river-mysql
2717,1,3,71,1358.5,1316.5,eurekastreams
1,0,1,1,1.0,0.0,Android-Lib-VerticalMarqueeTextView
12,1,2,5,6.0,2.0,PrismView
438,29,15,82,14.6,14.40971894243604,filebot
13,0,1,6,13.0,0.0,Android-Error-Reporter
66,1,1,11,33.0,23.0,sonar-stash
1120,54,34,101,20.363636363636363,30.352093614392718,Kettle
7,0,1,6,7.0,0.0,MaskedEditText
44,1,9,14,22.0,2.0,warcbase
265,21,2,31,12.045454545454545,13.821844610244757,multibit-merchant
21,4,5,10,4.2,4.069397989875161,bazel-tools
3,0,1,2,3.0,0.0,Android-NewPopupMenu
30,1,8,8,15.0,8.0,Genesis
13,1,1,9,6.5,1.5,otp-authenticator
143,1,6,37,71.5,36.5,coinbase-java
9,1,1,7,4.5,3.5,ig-disk-cache
